"Gene name","Mean gene expression level (TPM)","Minimum log2 fold change","Ensembl ID"
"IGHV1-69","409.03","8.6","ENSG00000211973"
"CD22","778.58","8.4","ENSG00000012124"
"PAX5","1297.49","8.3","ENSG00000196092"
"MS4A1","4189.50","8.2","ENSG00000156738"
"IGHD","1264.93","8.1","ENSG00000211898"
"IGHV3-23","545.55","8.1","ENSG00000211949"
"IGHV5-51","273.47","8.1","ENSG00000211966"
"TSPAN13","687.70","8","ENSG00000106537"
"CD19","251.18","8","ENSG00000177455"
"IGLV3-19","250.79","7.9","ENSG00000211663"
"BANK1","628.40","7.9","ENSG00000153064"
"U62631.5","226.61","7.8","ENSG00000269553"
"LINC00926","1957.28","7.8","ENSG00000247982"
"FCRL5","209.98","7.7","ENSG00000143297"
"IGKV3-20","214.12","7.7","ENSG00000239951"
"IGHV1-18","289.10","7.7","ENSG00000211945"
"IGHV3-21","203.50","7.7","ENSG00000211947"
"IGLV3-1","197.15","7.6","ENSG00000211673"
"TCL1A","374.13","7.6","ENSG00000100721"
"IGHV4-39","187.40","7.6","ENSG00000211959"
"IGKV1-5","273.43","7.5","ENSG00000243466"
"KLHL14","183.85","7.5","ENSG00000197705"
"IGKV3-11","179.95","7.5","ENSG00000241351"
"IGHV3-9","175.15","7.5","ENSG00000211940"
"IGLC3","166.55","7.4","ENSG00000211679"
"CTD-2215E18.1","491.00","7.3","ENSG00000251606"
"IGHV1-2","158.37","7.3","ENSG00000211934"
"IGKJ5","231.40","7.3","ENSG00000211593"
"FAM129C","633.10","7.3","ENSG00000167483"
"IGLC2","153.14","7.3","ENSG00000211677"
"IGKJ3","149.97","7.2","ENSG00000211595"
"IGKJ4","212.17","7.2","ENSG00000211594"
"LIX1","147.74","7.2","ENSG00000145721"
"IGHV3-11","144.79","7.2","ENSG00000211941"
"IGHV3-15","144.44","7.2","ENSG00000211943"
"IGKV4-1","240.58","7.1","ENSG00000211598"
"KCNH8","135.60","7.1","ENSG00000183960"
"VPREB3","211.80","7.1","ENSG00000128218"
"FCRLA","131.02","7","ENSG00000132185"
"IGHV3-30","166.64","7","ENSG00000211953"
"COL19A1","128.44","7","ENSG00000082293"
"SLC38A11","127.69","7","ENSG00000169507"
"IGHM","4454.35","6.9","ENSG00000211899"
"CLEC17A","343.69","6.8","ENSG00000187912"
"BLNK","185.11","6.8","ENSG00000095585"
"IGHV1-8","109.59","6.8","ENSG00000211939"
"DENND5B","103.79","6.7","ENSG00000170456"
"IGLV2-23","102.94","6.7","ENSG00000211660"
"FCER2","487.05","6.7","ENSG00000104921"
"IGHV2-5","99.84","6.6","ENSG00000211937"
"DIRAS1","94.59","6.6","ENSG00000176490"
"RNA5SP111","88.45","6.5","ENSG00000223318"
"IGLV3-21","88.11","6.5","ENSG00000211662"
"IGLV3-25","87.75","6.5","ENSG00000211659"
"SPIB","120.34","6.5","ENSG00000269404"
"KIAA0125","117.32","6.4","ENSG00000226777"
"IGHD1-1","92.03","6.4","ENSG00000236170"
"IGHV3-7","85.31","6.4","ENSG00000211938"
"IGHV3-49","82.80","6.4","ENSG00000211965"
"IGHV1-24","81.82","6.4","ENSG00000211950"
"AC096579.7","81.20","6.3","ENSG00000231486"
"IGHD1-20","80.17","6.3","ENSG00000237020"
"IGLC7","78.25","6.3","ENSG00000211685"
"FAM177B","77.54","6.3","ENSG00000197520"
"RP11-136K14.1","194.08","6.1","ENSG00000232891"
"IGHV3-48","68.95","6.1","ENSG00000211964"
"CORO2B","66.54","6.1","ENSG00000103647"
"IGLV1-40","66.07","6","ENSG00000211653"
"AC079767.4","66.06","6","ENSG00000224137"
"SCN3A","63.00","6","ENSG00000153253"
"IGHV4-31","146.91","5.9","ENSG00000231475"
"IGHV3-43","61.56","5.9","ENSG00000232216"
"IGHV2-70","60.97","5.9","ENSG00000211974"
"RP11-148O21.2","319.08","5.9","ENSG00000255354"
"PCDH9","57.48","5.8","ENSG00000184226"
"LINC00494","56.92","5.8","ENSG00000235621"
"ABCB4","56.23","5.8","ENSG00000005471"
"BLK","181.08","5.8","ENSG00000136573"
"FCRL2","390.17","5.8","ENSG00000132704"
"COBLL1","54.60","5.8","ENSG00000082438"
"IGHV3-33","54.59","5.8","ENSG00000211955"
"IGHV6-1","51.64","5.7","ENSG00000211933"
"EBF1","48.41","5.6","ENSG00000164330"
"IGLL5","47.45","5.6","ENSG00000254709"
"IGHV3-64","47.05","5.6","ENSG00000223648"
"IGJ","197.94","5.5","ENSG00000132465"
"KHDRBS2","44.90","5.5","ENSG00000112232"
"IGHD5-18","153.78","5.5","ENSG00000211915"
"IGHD4-17","63.88","5.5","ENSG00000227800"
"CLCN4","101.06","5.5","ENSG00000073464"
"IGKV1-8","44.13","5.5","ENSG00000240671"
"IGHG3","44.10","5.5","ENSG00000211897"
"IGKV3-15","43.89","5.5","ENSG00000244437"
"AL122127.25","43.28","5.4","ENSG00000244620"
"MIR4540","42.92","5.4","ENSG00000264922"
"IGLV1-47","42.54","5.4","ENSG00000211648"
"KIAA0226L","163.58","5.4","ENSG00000102445"
"IGHV3-13","41.75","5.4","ENSG00000211942"
"CD24P4","41.61","5.4","ENSG00000185275"
"IGLV6-57","40.61","5.3","ENSG00000211640"
