"Gene name","Mean gene expression level (TPM)","Minimum log2 fold change","Ensembl ID"
"S100A12","2369.12","8.4","ENSG00000163221"
"F13A1","209.88","7.7","ENSG00000124491"
"CLEC4E","174.67","7.4","ENSG00000166523"
"CD163","170.01","7.4","ENSG00000177575"
"C19orf59","133.62","7.1","ENSG00000183019"
"CLEC4D","123.60","6.9","ENSG00000166527"
"CD14","804.77","6.7","ENSG00000170458"
"STAB1","97.59","6.6","ENSG00000010327"
"S100A8","6096.89","6.6","ENSG00000143546"
"LGALS2","670.23","6.4","ENSG00000100079"
"IL1B","760.81","6.3","ENSG00000125538"
"ASGR2","78.43","6.3","ENSG00000161944"
"RNASE2","148.61","6.1","ENSG00000169385"
"FOLR3","64.00","6","ENSG00000110203"
"PLA2G7","63.44","6","ENSG00000146070"
"STEAP4","63.35","6","ENSG00000127954"
"CYP27A1","62.05","6","ENSG00000135929"
"VCAN","723.84","5.9","ENSG00000038427"
"PADI2","55.71","5.8","ENSG00000117115"
"THBS1","353.85","5.8","ENSG00000137801"
"S1PR3","51.91","5.7","ENSG00000213694"
"C9orf47","49.51","5.6","ENSG00000186354"
"ALDH1A1","145.89","5.6","ENSG00000165092"
"EREG","203.81","5.6","ENSG00000124882"
"CES1","41.25","5.4","ENSG00000198848"
"CLEC10A","38.94","5.3","ENSG00000132514"
"CLEC5A","35.07","5.1","ENSG00000258227"
"SIGLEC1","33.77","5.1","ENSG00000088827"
"CYP2S1","33.40","5.1","ENSG00000167600"
"S100A9","26730.60","5","ENSG00000163220"
"MARC1","32.23","5","ENSG00000186205"
"FCER1A","33.08","4.9","ENSG00000179639"
"CREB5","105.72","4.9","ENSG00000146592"
"CRISPLD2","65.12","4.9","ENSG00000103196"
"QPCT","106.70","4.8","ENSG00000115828"
"WLS","42.67","4.8","ENSG00000116729"
"RP1-229K20.5","84.58","4.8","ENSG00000218809"
"MS4A6A","257.49","4.7","ENSG00000110077"
"MGST1","24.66","4.6","ENSG00000008394"
"LGALS12","24.18","4.6","ENSG00000133317"
"HBEGF","763.29","4.4","ENSG00000113070"
"CD300LB","319.89","4.4","ENSG00000178789"
"ZNF697","29.57","4.4","ENSG00000143067"
"CXCL1","20.37","4.3","ENSG00000163739"
"CXCL2","294.91","4.3","ENSG00000081041"
"RP11-344B5.2","19.02","4.2","ENSG00000224307"
"VNN3","38.63","4.2","ENSG00000093134"
"VCAN-AS1","18.65","4.2","ENSG00000249835"
"CLEC6A","18.60","4.2","ENSG00000205846"
"RPL7AP64","18.36","4.2","ENSG00000213876"
"VSIG4","17.94","4.2","ENSG00000155659"
"PADI4","130.40","4.1","ENSG00000159339"
"FCAR","338.58","4.1","ENSG00000186431"
"LYZ","40677.67","4.1","ENSG00000090382"
"TREM1","283.92","4.1","ENSG00000124731"
"HLX","17.28","4.1","ENSG00000136630"
"SERPINB2","26.61","4.1","ENSG00000197632"
"FXYD6","16.76","4.1","ENSG00000137726"
"GLT1D1","217.07","4.1","ENSG00000151948"
"GPR84","16.61","4.1","ENSG00000139572"
"CSF3R","485.98","4","ENSG00000119535"
"SLC22A4","18.75","4","ENSG00000197208"
"THBD","108.74","3.9","ENSG00000178726"
"SIRPA","420.97","3.9","ENSG00000198053"
"OLR1","17.95","3.9","ENSG00000173391"
"PTX3","64.55","3.9","ENSG00000163661"
"AC051642.1","14.51","3.9","ENSG00000268085"
"CACNA2D3","14.13","3.8","ENSG00000157445"
"RP11-240E2.2","54.47","3.8","ENSG00000213557"
"CTB-61M7.2","193.85","3.8","ENSG00000268734"
"CDC42EP1","13.83","3.8","ENSG00000128283"
"PTGS2","150.68","3.8","ENSG00000073756"
"NRG1","13.67","3.8","ENSG00000157168"
"DSC2","13.20","3.7","ENSG00000134755"
"CD36","182.71","3.7","ENSG00000135218"
"ARHGEF40","45.59","3.7","ENSG00000165801"
"GGTA1P","12.47","3.6","ENSG00000204136"
"PVRL2","12.41","3.6","ENSG00000130202"
"G0S2","942.01","3.6","ENSG00000123689"
"FLT3","13.91","3.6","ENSG00000122025"
"C15orf38","82.76","3.6","ENSG00000242498"
"RPS15AP27","11.71","3.5","ENSG00000236783"
"CECR6","15.08","3.5","ENSG00000183307"
"RNU7-111P","41.31","3.5","ENSG00000252645"
"MIR23A","91.85","3.5","ENSG00000207980"
"RAB44","25.61","3.5","ENSG00000255587"
"AP003774.6","11.27","3.5","ENSG00000231680"
"TMEM150B","25.99","3.5","ENSG00000180061"
"AP001257.1","11.13","3.5","ENSG00000254952"
"RN7SKP283","11.02","3.5","ENSG00000253006"
"ALDH2","285.07","3.4","ENSG00000111275"
"RP11-84C10.2","10.67","3.4","ENSG00000136315"
"SCARF1","10.67","3.4","ENSG00000074660"
"Y_RNA_ENSG00000202019","21.56","3.4","ENSG00000202019"
"COL8A2","10.53","3.4","ENSG00000171812"
"BPI","10.20","3.4","ENSG00000101425"
"AC073850.6","18.05","3.3","ENSG00000229436"
"RP11-12A2.1","9.58","3.3","ENSG00000218565"
"IL1RN","103.35","3.2","ENSG00000136689"
"CCDC149","17.24","3.2","ENSG00000181982"
